,Ticker,close,date,high,low,month,open,volume,company,sector,symbol
0,BPCL,170.68,2023-10-03 05:30:00,174.6,170.43,2023-10,174.25,10514554,BPCL,ENERGY,BPCL: BPCL
1,BPCL,170.68,2023-10-04 05:30:00,172.48,169.78,2023-10,170.68,6049760,BPCL,ENERGY,BPCL: BPCL
2,BPCL,172.23,2023-10-05 05:30:00,173.88,171.4,2023-10,172.75,7115506,BPCL,ENERGY,BPCL: BPCL
3,BPCL,173.6,2023-10-06 05:30:00,174.5,172.0,2023-10,172.5,3717076,BPCL,ENERGY,BPCL: BPCL
4,BPCL,170.0,2023-10-09 05:30:00,170.83,168.08,2023-10,170.5,8740080,BPCL,ENERGY,BPCL: BPCL
5,BPCL,170.2,2023-10-10 05:30:00,171.3,169.6,2023-10,170.03,3572978,BPCL,ENERGY,BPCL: BPCL
6,BPCL,171.28,2023-10-11 05:30:00,172.65,170.75,2023-10,171.1,4799512,BPCL,ENERGY,BPCL: BPCL
7,BPCL,174.35,2023-10-12 05:30:00,175.18,172.03,2023-10,172.45,7703802,BPCL,ENERGY,BPCL: BPCL
8,BPCL,173.85,2023-10-13 05:30:00,175.3,173.53,2023-10,173.55,3981804,BPCL,ENERGY,BPCL: BPCL
9,BPCL,173.63,2023-10-16 05:30:00,174.23,171.0,2023-10,172.5,3262470,BPCL,ENERGY,BPCL: BPCL
10,BPCL,177.35,2023-10-17 05:30:00,178.85,173.35,2023-10,174.45,10443728,BPCL,ENERGY,BPCL: BPCL
11,BPCL,175.1,2023-10-18 05:30:00,178.25,174.43,2023-10,177.5,9162228,BPCL,ENERGY,BPCL: BPCL
12,BPCL,176.85,2023-10-19 05:30:00,177.28,174.58,2023-10,174.75,5743188,BPCL,ENERGY,BPCL: BPCL
13,BPCL,173.2,2023-10-20 05:30:00,176.4,172.28,2023-10,175.3,4400690,BPCL,ENERGY,BPCL: BPCL
14,BPCL,171.4,2023-10-23 05:30:00,173.65,170.83,2023-10,172.78,7813800,BPCL,ENERGY,BPCL: BPCL
15,BPCL,169.98,2023-10-25 05:30:00,173.25,169.25,2023-10,171.28,5429774,BPCL,ENERGY,BPCL: BPCL
16,BPCL,167.5,2023-10-26 05:30:00,169.48,165.73,2023-10,168.8,7743878,BPCL,ENERGY,BPCL: BPCL
17,BPCL,167.48,2023-10-27 05:30:00,169.13,167.0,2023-10,167.5,2996088,BPCL,ENERGY,BPCL: BPCL
18,BPCL,173.45,2023-10-30 05:30:00,174.45,168.55,2023-10,169.0,21873188,BPCL,ENERGY,BPCL: BPCL
19,BPCL,174.63,2023-10-31 05:30:00,176.98,172.33,2023-10,174.18,10673186,BPCL,ENERGY,BPCL: BPCL
20,BPCL,178.45,2023-11-01 05:30:00,179.38,175.28,2023-11,175.28,13929780,BPCL,ENERGY,BPCL: BPCL
21,BPCL,180.28,2023-11-02 05:30:00,181.0,178.63,2023-11,180.48,10130432,BPCL,ENERGY,BPCL: BPCL
22,BPCL,180.75,2023-11-03 05:30:00,181.85,180.1,2023-11,180.58,5627900,BPCL,ENERGY,BPCL: BPCL
23,BPCL,183.13,2023-11-06 05:30:00,184.58,180.68,2023-11,181.4,9072020,BPCL,ENERGY,BPCL: BPCL
24,BPCL,186.4,2023-11-07 05:30:00,186.83,183.1,2023-11,183.4,10702176,BPCL,ENERGY,BPCL: BPCL
25,BPCL,192.1,2023-11-08 05:30:00,193.95,187.03,2023-11,187.73,24020912,BPCL,ENERGY,BPCL: BPCL
26,BPCL,191.78,2023-11-09 05:30:00,195.33,191.4,2023-11,192.55,12843896,BPCL,ENERGY,BPCL: BPCL
27,BPCL,192.03,2023-11-10 05:30:00,193.05,190.25,2023-11,190.9,4932486,BPCL,ENERGY,BPCL: BPCL
28,BPCL,192.05,2023-11-12 05:30:00,194.0,191.58,2023-11,192.5,776810,BPCL,ENERGY,BPCL: BPCL
29,BPCL,193.55,2023-11-13 05:30:00,194.35,191.75,2023-11,191.75,4838906,BPCL,ENERGY,BPCL: BPCL
30,BPCL,196.28,2023-11-15 05:30:00,196.7,193.58,2023-11,194.0,11266250,BPCL,ENERGY,BPCL: BPCL
31,BPCL,199.33,2023-11-16 05:30:00,200.65,196.5,2023-11,197.0,15416172,BPCL,ENERGY,BPCL: BPCL
32,BPCL,195.13,2023-11-17 05:30:00,203.55,194.63,2023-11,200.0,16380696,BPCL,ENERGY,BPCL: BPCL
33,BPCL,196.0,2023-11-20 05:30:00,196.7,193.73,2023-11,195.33,4506882,BPCL,ENERGY,BPCL: BPCL
34,BPCL,194.0,2023-11-21 05:30:00,196.6,193.3,2023-11,196.0,4477214,BPCL,ENERGY,BPCL: BPCL
35,BPCL,201.05,2023-11-22 05:30:00,201.4,195.55,2023-11,196.0,25730664,BPCL,ENERGY,BPCL: BPCL
36,BPCL,205.65,2023-11-23 05:30:00,206.75,200.33,2023-11,201.78,16239092,BPCL,ENERGY,BPCL: BPCL
37,BPCL,205.3,2023-11-24 05:30:00,206.5,203.5,2023-11,206.5,10975546,BPCL,ENERGY,BPCL: BPCL
38,BPCL,212.25,2023-11-28 05:30:00,212.95,206.55,2023-11,207.03,23186856,BPCL,ENERGY,BPCL: BPCL
39,BPCL,214.33,2023-11-29 05:30:00,217.23,209.35,2023-11,213.0,25208812,BPCL,ENERGY,BPCL: BPCL
40,BPCL,217.85,2023-11-30 05:30:00,219.38,214.53,2023-11,217.25,32721308,BPCL,ENERGY,BPCL: BPCL
41,BPCL,219.0,2023-12-01 05:30:00,221.2,216.7,2023-12,220.0,19278842,BPCL,ENERGY,BPCL: BPCL
42,BPCL,230.75,2023-12-04 05:30:00,232.4,222.0,2023-12,222.5,41482794,BPCL,ENERGY,BPCL: BPCL
43,BPCL,236.1,2023-12-05 05:30:00,238.23,232.5,2023-12,235.03,38376064,BPCL,ENERGY,BPCL: BPCL
44,BPCL,236.43,2023-12-06 05:30:00,241.25,234.15,2023-12,240.5,27408826,BPCL,ENERGY,BPCL: BPCL
45,BPCL,237.35,2023-12-07 05:30:00,239.5,235.75,2023-12,238.5,23850564,BPCL,ENERGY,BPCL: BPCL
46,BPCL,235.23,2023-12-08 05:30:00,238.73,232.9,2023-12,238.45,18940478,BPCL,ENERGY,BPCL: BPCL
47,BPCL,232.75,2023-12-11 05:30:00,237.43,228.28,2023-12,237.43,27693108,BPCL,ENERGY,BPCL: BPCL
48,BPCL,223.78,2023-12-12 05:30:00,225.73,222.75,2023-12,222.75,19940320,BPCL,ENERGY,BPCL: BPCL
49,BPCL,223.75,2023-12-13 05:30:00,227.18,222.98,2023-12,224.75,26664018,BPCL,ENERGY,BPCL: BPCL
50,BPCL,222.85,2023-12-14 05:30:00,224.98,221.03,2023-12,224.98,12555568,BPCL,ENERGY,BPCL: BPCL
51,BPCL,224.5,2023-12-15 05:30:00,226.73,221.1,2023-12,222.5,22079148,BPCL,ENERGY,BPCL: BPCL
52,BPCL,223.63,2023-12-18 05:30:00,225.13,222.05,2023-12,224.5,16831064,BPCL,ENERGY,BPCL: BPCL
53,BPCL,224.88,2023-12-19 05:30:00,225.75,222.53,2023-12,223.63,12644672,BPCL,ENERGY,BPCL: BPCL
54,BPCL,219.73,2023-12-20 05:30:00,227.68,219.18,2023-12,226.7,17347978,BPCL,ENERGY,BPCL: BPCL
55,BPCL,224.78,2023-12-21 05:30:00,225.23,216.23,2023-12,217.45,18554414,BPCL,ENERGY,BPCL: BPCL
56,BPCL,223.33,2023-12-22 05:30:00,226.68,222.53,2023-12,224.85,11559264,BPCL,ENERGY,BPCL: BPCL
57,BPCL,225.8,2023-12-26 05:30:00,228.25,222.25,2023-12,224.0,22976450,BPCL,ENERGY,BPCL: BPCL
58,BPCL,227.35,2023-12-27 05:30:00,228.2,224.15,2023-12,226.98,12398088,BPCL,ENERGY,BPCL: BPCL
59,BPCL,232.9,2023-12-28 05:30:00,235.43,227.38,2023-12,228.0,45183336,BPCL,ENERGY,BPCL: BPCL
60,BPCL,225.33,2023-12-29 05:30:00,229.0,224.33,2023-12,227.25,17088440,BPCL,ENERGY,BPCL: BPCL
61,BPCL,226.03,2024-01-01 05:30:00,229.7,225.35,2024-01,229.7,7006288,BPCL,ENERGY,BPCL: BPCL
62,BPCL,228.13,2024-01-02 05:30:00,229.7,224.05,2024-01,226.03,9458818,BPCL,ENERGY,BPCL: BPCL
63,BPCL,230.53,2024-01-03 05:30:00,232.65,227.53,2024-01,229.98,15058884,BPCL,ENERGY,BPCL: BPCL
64,BPCL,226.33,2024-01-04 05:30:00,228.75,225.5,2024-01,228.4,17904916,BPCL,ENERGY,BPCL: BPCL
65,BPCL,226.55,2024-01-05 05:30:00,229.83,225.63,2024-01,227.95,8080468,BPCL,ENERGY,BPCL: BPCL
66,BPCL,227.5,2024-01-08 05:30:00,232.15,225.73,2024-01,228.48,18232610,BPCL,ENERGY,BPCL: BPCL
67,BPCL,229.98,2024-01-09 05:30:00,231.88,227.83,2024-01,230.0,12301290,BPCL,ENERGY,BPCL: BPCL
68,BPCL,225.63,2024-01-10 05:30:00,228.08,222.55,2024-01,227.6,15261992,BPCL,ENERGY,BPCL: BPCL
69,BPCL,229.35,2024-01-11 05:30:00,230.6,226.6,2024-01,226.95,15751252,BPCL,ENERGY,BPCL: BPCL
70,BPCL,229.13,2024-01-12 05:30:00,230.55,227.55,2024-01,229.5,11990812,BPCL,ENERGY,BPCL: BPCL
71,BPCL,229.98,2024-01-15 05:30:00,231.75,227.83,2024-01,230.0,10408382,BPCL,ENERGY,BPCL: BPCL
72,BPCL,236.43,2024-01-16 05:30:00,239.9,230.25,2024-01,230.5,42369500,BPCL,ENERGY,BPCL: BPCL
73,BPCL,235.83,2024-01-17 05:30:00,238.58,233.08,2024-01,236.0,22429284,BPCL,ENERGY,BPCL: BPCL
74,BPCL,236.6,2024-01-18 05:30:00,240.45,230.5,2024-01,233.5,19802302,BPCL,ENERGY,BPCL: BPCL
75,BPCL,240.48,2024-01-19 05:30:00,242.5,237.03,2024-01,238.0,12973856,BPCL,ENERGY,BPCL: BPCL
76,BPCL,241.55,2024-01-20 05:30:00,243.0,240.0,2024-01,242.0,7622276,BPCL,ENERGY,BPCL: BPCL
77,BPCL,231.53,2024-01-23 05:30:00,244.25,230.05,2024-01,244.25,18419550,BPCL,ENERGY,BPCL: BPCL
78,BPCL,238.58,2024-01-24 05:30:00,239.25,231.65,2024-01,232.5,15161312,BPCL,ENERGY,BPCL: BPCL
79,BPCL,237.2,2024-01-25 05:30:00,244.18,235.5,2024-01,238.6,21346674,BPCL,ENERGY,BPCL: BPCL
80,BPCL,246.33,2024-01-29 05:30:00,250.7,234.7,2024-01,237.0,27869484,BPCL,ENERGY,BPCL: BPCL
81,BPCL,252.1,2024-01-30 05:30:00,258.93,246.58,2024-01,248.43,44271876,BPCL,ENERGY,BPCL: BPCL
82,BPCL,251.18,2024-01-31 05:30:00,256.27,249.28,2024-01,252.98,20707736,BPCL,ENERGY,BPCL: BPCL
83,BPCL,254.23,2024-02-01 05:30:00,257.65,249.55,2024-02,252.28,14008198,BPCL,ENERGY,BPCL: BPCL
84,BPCL,279.18,2024-02-02 05:30:00,286.2,258.0,2024-02,258.68,77556082,BPCL,ENERGY,BPCL: BPCL
85,BPCL,287.38,2024-02-05 05:30:00,294.4,278.52,2024-02,283.0,45025890,BPCL,ENERGY,BPCL: BPCL
