,Ticker,close,date,high,low,month,open,volume,company,sector,symbol
0,TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,2023-10,859.32,1168848,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
1,TATACONSUM,854.13,2023-10-04 05:30:00,859.17,844.5,2023-10,856.36,615431,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
2,TATACONSUM,849.64,2023-10-05 05:30:00,858.58,846.97,2023-10,855.42,740770,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
3,TATACONSUM,864.01,2023-10-06 05:30:00,866.73,850.43,2023-10,850.43,948330,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
4,TATACONSUM,869.84,2023-10-09 05:30:00,873.0,856.16,2023-10,857.34,1186046,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
5,TATACONSUM,877.84,2023-10-10 05:30:00,881.44,870.92,2023-10,874.13,859825,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
6,TATACONSUM,877.49,2023-10-11 05:30:00,886.19,875.32,2023-10,884.01,1049520,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
7,TATACONSUM,881.39,2023-10-12 05:30:00,883.17,872.36,2023-10,877.99,765845,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
8,TATACONSUM,902.14,2023-10-13 05:30:00,906.73,877.94,2023-10,879.32,5057274,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
9,TATACONSUM,897.45,2023-10-16 05:30:00,906.53,894.93,2023-10,906.53,1506213,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
10,TATACONSUM,896.7,2023-10-17 05:30:00,916.61,894.04,2023-10,900.85,3188856,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
11,TATACONSUM,884.7,2023-10-18 05:30:00,903.77,881.15,2023-10,901.25,1203949,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
12,TATACONSUM,884.41,2023-10-19 05:30:00,889.35,868.26,2023-10,885.0,1412913,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
13,TATACONSUM,887.91,2023-10-20 05:30:00,890.73,877.74,2023-10,881.0,2267132,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
14,TATACONSUM,872.26,2023-10-23 05:30:00,894.93,869.44,2023-10,887.72,961166,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
15,TATACONSUM,879.07,2023-10-25 05:30:00,883.47,871.52,2023-10,872.46,1513164,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
16,TATACONSUM,869.54,2023-10-26 05:30:00,876.06,861.29,2023-10,872.41,1942505,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
17,TATACONSUM,880.16,2023-10-27 05:30:00,883.52,865.25,2023-10,869.2,787716,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
18,TATACONSUM,882.58,2023-10-30 05:30:00,885.0,869.39,2023-10,875.12,1133453,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
19,TATACONSUM,889.44,2023-10-31 05:30:00,892.31,881.05,2023-10,888.46,1069220,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
20,TATACONSUM,892.06,2023-11-01 05:30:00,908.71,884.7,2023-11,894.88,2645858,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
21,TATACONSUM,900.06,2023-11-02 05:30:00,906.43,892.46,2023-11,898.98,1069223,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
22,TATACONSUM,902.48,2023-11-03 05:30:00,908.01,900.06,2023-11,900.8,890838,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
23,TATACONSUM,907.37,2023-11-06 05:30:00,912.36,904.75,2023-11,905.5,733260,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
24,TATACONSUM,910.73,2023-11-07 05:30:00,912.36,901.79,2023-11,908.71,809657,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
25,TATACONSUM,905.05,2023-11-08 05:30:00,918.04,902.93,2023-11,911.17,1077038,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
26,TATACONSUM,891.77,2023-11-09 05:30:00,907.67,887.32,2023-11,905.05,3155135,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
27,TATACONSUM,901.49,2023-11-10 05:30:00,905.59,885.49,2023-11,891.77,3799221,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
28,TATACONSUM,904.06,2023-11-12 05:30:00,910.68,902.78,2023-11,910.68,155860,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
29,TATACONSUM,905.3,2023-11-13 05:30:00,909.15,895.96,2023-11,902.78,893778,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
30,TATACONSUM,918.19,2023-11-15 05:30:00,920.56,905.1,2023-11,910.09,1544961,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
31,TATACONSUM,908.75,2023-11-16 05:30:00,921.55,906.73,2023-11,921.55,1299161,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
32,TATACONSUM,919.42,2023-11-17 05:30:00,922.53,909.69,2023-11,910.68,949562,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
33,TATACONSUM,919.42,2023-11-20 05:30:00,929.3,916.8,2023-11,924.01,1154678,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER
