,Ticker,close,date,high,low,month,open,volume,company,sector,symbol
0,BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,2023-10,918.25,4338272,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
1,BHARTIARTL,924.25,2023-10-04 05:30:00,925.95,918.3,2023-10,918.3,5603669,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
2,BHARTIARTL,928.85,2023-10-05 05:30:00,929.6,919.4,2023-10,925.05,7063132,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
3,BHARTIARTL,926.05,2023-10-06 05:30:00,929.2,924.3,2023-10,929.2,2420855,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
4,BHARTIARTL,924.55,2023-10-09 05:30:00,928.05,916.55,2023-10,918.0,2248103,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
5,BHARTIARTL,948.35,2023-10-10 05:30:00,954.05,921.05,2023-10,924.55,7897875,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
6,BHARTIARTL,955.6,2023-10-11 05:30:00,956.8,948.0,2023-10,948.5,5645289,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
7,BHARTIARTL,950.35,2023-10-12 05:30:00,956.8,947.0,2023-10,955.6,5544735,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
8,BHARTIARTL,954.2,2023-10-13 05:30:00,955.95,946.3,2023-10,946.3,4421671,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
9,BHARTIARTL,946.55,2023-10-16 05:30:00,958.75,943.85,2023-10,957.95,1881721,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
10,BHARTIARTL,953.65,2023-10-17 05:30:00,960.25,946.0,2023-10,946.55,3863410,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
